unique_property_id,id_x,projectType,projectName,projectCategory,slug,projectAge,projectSummary,possessionDate,id_y,landmark,fullAddress,pincode,propertyCategory,type,configurationId,bathrooms,balcony,furnishedType,furnishingType,floorPlanImage,carpetArea,price,propertyImages,lift,ready_to_move,context
cmff8vfoq0013vxp7h3onmg46,cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,Ashwini,STANDALONE,luxury-ashwini-ashoknagar-chembur-mumbai-675058,,_,2025-09-28 00:00:00,cmf53kl01000nvcu8ibut7fka,Babys school,Mumbai chembur,411017,RESIDENTIAL,1BHK,cmf53kkzz000ivcu89r5399s4,1,1.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757584023815-67012c27580e3e23.jpg,123.0,11111111,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-1e5179453b5df91d.jpg""]",0,0,"Project Name: Ashwini and type :1BHK. Located at : Mumbai chembur , near luxury-ashwini-ashoknagar-chembur-mumbai-675058 , having landmark :Babys school Property Type: . Price: Rs11111111. having Area or carpet area: 123.0 sq meter. and also _ !. "
cmff8vjd4001dvxp7tq21djvf,cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,Ashwini,STANDALONE,luxury-ashwini-ashoknagar-chembur-mumbai-675058,,_,2025-09-28 00:00:00,cmf53kl01000nvcu8ibut7fka,Babys school,Mumbai chembur,411017,RESIDENTIAL,2BHK,cmf53kl00000kvcu86ivy65di,0,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-419924a4c5c28823.jpg,456.0,22222222,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-7c8c73119cb2047b.jpg""]",0,0,"Project Name: Ashwini and type :2BHK. Located at : Mumbai chembur , near luxury-ashwini-ashoknagar-chembur-mumbai-675058 , having landmark :Babys school Property Type: . Price: Rs22222222. having Area or carpet area: 456.0 sq meter. and also _ !. "
cmf5r6hv20005vxpt3yfnl2qp,cmf5r6hv00001vxptnfichhfl,RESIDENTIAL,Pristine02,STANDALONE,pristine02-modelcolony-shivajinagar-pune-428955,0.0,_,,cmf5r6hv30008vxptq5el3h5n,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,RESIDENTIAL,2BHK,cmf5r6hv20004vxpt0l657blu,12,3.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238520-ba6c9c4021ea321f.jpg,972.0,120000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""]",0,1,"Project Name: Pristine02 and type :2BHK. Located at : sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune  , near pristine02-modelcolony-shivajinagar-pune-428955 , having landmark :Sai nagar  Property Type: . Price: Rs120000000. having Area or carpet area: 972.0 sq meter. and also _ !. "
cmf5r6hv20006vxptcx3lmm05,cmf5r6hv00001vxptnfichhfl,RESIDENTIAL,Pristine02,STANDALONE,pristine02-modelcolony-shivajinagar-pune-428955,0.0,_,,cmf5r6hv30008vxptq5el3h5n,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,RESIDENTIAL,2BHK,cmf5r6hv20004vxpt0l657blu,3,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-2d39a8b06669406b.jpg,188.73,210000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-bd3d1a40c2d7fadb.jpg""]",0,1,"Project Name: Pristine02 and type :2BHK. Located at : sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune  , near pristine02-modelcolony-shivajinagar-pune-428955 , having landmark :Sai nagar  Property Type: . Price: Rs210000000. having Area or carpet area: 188.73 sq meter. and also _ !. "
cmfawdrnq000bvc188680qjyx,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,_,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,1BHK,cmfawdrnq000avc18qcvaxzi9,1,1.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391101-b4e4be9945434d29.jpg,426.57,13000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""]",0,0,"Project Name: Gurukripa and type :1BHK. Located at : Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai , near gurukripa-ashoknagar-chembur-mumbai-086047 , having landmark :Sindhi Society Property Type: . Price: Rs13000000. having Area or carpet area: 426.57 sq meter. and also _ !. "
cmfawdrnr000cvc1897rpsu1b,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,_,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,1BHK,cmfawdrnq000avc18qcvaxzi9,1,1.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391141-e6c14becbdbd76a2.jpg,460.8,15000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391150-9b806803ceb0c8b6.jpg""]",0,0,"Project Name: Gurukripa and type :1BHK. Located at : Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai , near gurukripa-ashoknagar-chembur-mumbai-086047 , having landmark :Sindhi Society Property Type: . Price: Rs15000000. having Area or carpet area: 460.8 sq meter. and also _ !. "
cmfawdrnr000evc18jwvlery4,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,_,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,3BHK,cmfawdrnr000dvc188hupv4yy,3,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391158-41329b8304cff17d.jpg,893.08,29000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""]",0,0,"Project Name: Gurukripa and type :3BHK. Located at : Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai , near gurukripa-ashoknagar-chembur-mumbai-086047 , having landmark :Sindhi Society Property Type: . Price: Rs29000000. having Area or carpet area: 893.08 sq meter. and also _ !. "
cmfawdrnr000fvc18af74elnu,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,_,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,3BHK,cmfawdrnr000dvc188hupv4yy,3,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391179-7f2bff943c2805a5.jpg,918.27,29000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391188-7b25319224e8a812.jpg""]",0,0,"Project Name: Gurukripa and type :3BHK. Located at : Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai , near gurukripa-ashoknagar-chembur-mumbai-086047 , having landmark :Sindhi Society Property Type: . Price: Rs29000000. having Area or carpet area: 918.27 sq meter. and also _ !. "
cmfawdrns000hvc18t3u6jukg,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,_,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,2BHK,cmfawdrnr000gvc18iunqlv98,2,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391195-0e9c4aa442f80776.jpg,804.6,26000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""]",0,0,"Project Name: Gurukripa and type :2BHK. Located at : Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai , near gurukripa-ashoknagar-chembur-mumbai-086047 , having landmark :Sindhi Society Property Type: . Price: Rs26000000. having Area or carpet area: 804.6 sq meter. and also _ !. "
cmfawdrns000ivc181n6bq8cm,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,_,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,2BHK,cmfawdrnr000gvc18iunqlv98,2,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391210-70f3ad7351a09d4c.jpg,1036.67,33000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391218-4ca8b878a42de5ae.jpg""]",0,0,"Project Name: Gurukripa and type :2BHK. Located at : Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai , near gurukripa-ashoknagar-chembur-mumbai-086047 , having landmark :Sindhi Society Property Type: . Price: Rs33000000. having Area or carpet area: 1036.67 sq meter. and also _ !. "
cmfaxq2or0024vc18pjebowp8,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,Hari om,STANDALONE,hari-om-ashoknagar-chembur-mumbai-650559,,_,,cmfaxq2ot002avc18ild77rjg,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,RESIDENTIAL,1BHK,cmfaxq2or0023vc18biodrtiy,1,1.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645437-975f7a8ecca1de6d.jpg,443.37,13000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-dbde48f7805f3bd0.jpg""]",0,0,"Project Name: Hari om and type :1BHK. Located at : Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071 , near hari-om-ashoknagar-chembur-mumbai-650559 , having landmark :Sindhi Society Property Type: . Price: Rs13000000. having Area or carpet area: 443.37 sq meter. and also _ !. "
cmfaxq2os0026vc18v92cqw3r,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,Hari om,STANDALONE,hari-om-ashoknagar-chembur-mumbai-650559,,_,,cmfaxq2ot002avc18ild77rjg,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,RESIDENTIAL,2BHK,cmfaxq2os0025vc18y99ryrns,2,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-970dda42c441c73b.jpg,644.11,19000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645449-b2f826d061804b98.jpg""]",0,0,"Project Name: Hari om and type :2BHK. Located at : Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071 , near hari-om-ashoknagar-chembur-mumbai-650559 , having landmark :Sindhi Society Property Type: . Price: Rs19000000. having Area or carpet area: 644.11 sq meter. and also _ !. "
cmfaxq2os0028vc18z4otsg17,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,Hari om,STANDALONE,hari-om-ashoknagar-chembur-mumbai-650559,,_,,cmfaxq2ot002avc18ild77rjg,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,RESIDENTIAL,3BHK,cmfaxq2os0027vc1861948lln,3,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645450-abde5eb3211c0467.jpg,798.57,23000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645451-d9b3e0a968cfc871.jpg""]",0,0,"Project Name: Hari om and type :3BHK. Located at : Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071 , near hari-om-ashoknagar-chembur-mumbai-650559 , having landmark :Sindhi Society Property Type: . Price: Rs23000000. having Area or carpet area: 798.57 sq meter. and also _ !. "
cmfaycwy9003avc18vwkotg8q,cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,Om makarand heights,STANDALONE,om-makarand-heights-ashoknagar-chembur-mumbai-716337,,_,2025-09-21 00:00:00,cmfaycwya003hvc18yc5gtwtc,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,RESIDENTIAL,1BHK,cmfaycwy80039vc18b1epdodx,1,1.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712590-57c98e762d3e95c3.jpg,379.0,850000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712591-aa79bad30786e10c.jpg""]",0,0,"Project Name: Om makarand heights and type :1BHK. Located at : 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 , near om-makarand-heights-ashoknagar-chembur-mumbai-716337 , having landmark :Hind high school Property Type: . Price: Rs850000. having Area or carpet area: 379.0 sq meter. and also _ !. "
cmfaycwy9003bvc189xf97r7w,cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,Om makarand heights,STANDALONE,om-makarand-heights-ashoknagar-chembur-mumbai-716337,,_,2025-09-21 00:00:00,cmfaycwya003hvc18yc5gtwtc,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,RESIDENTIAL,1BHK,cmfaycwy80039vc18b1epdodx,1,1.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712593-25cd2d9a5765be22.jpg,354.0,790000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712594-cd33c56e7db9cd37.jpg""]",0,0,"Project Name: Om makarand heights and type :1BHK. Located at : 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 , near om-makarand-heights-ashoknagar-chembur-mumbai-716337 , having landmark :Hind high school Property Type: . Price: Rs790000. having Area or carpet area: 354.0 sq meter. and also _ !. "
cmfaycwy9003cvc181yx3c5gf,cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,Om makarand heights,STANDALONE,om-makarand-heights-ashoknagar-chembur-mumbai-716337,,_,2025-09-21 00:00:00,cmfaycwya003hvc18yc5gtwtc,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,RESIDENTIAL,1BHK,cmfaycwy80039vc18b1epdodx,1,0.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712597-accd128a6ea12d10.jpg,391.0,880000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712598-d2ac8b8887119ad8.jpg""]",0,0,"Project Name: Om makarand heights and type :1BHK. Located at : 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 , near om-makarand-heights-ashoknagar-chembur-mumbai-716337 , having landmark :Hind high school Property Type: . Price: Rs880000. having Area or carpet area: 391.0 sq meter. and also _ !. "
cmfaycwy9003evc186uhex90a,cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,Om makarand heights,STANDALONE,om-makarand-heights-ashoknagar-chembur-mumbai-716337,,_,2025-09-21 00:00:00,cmfaycwya003hvc18yc5gtwtc,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,RESIDENTIAL,2BHK,cmfaycwy9003dvc1853ic14wb,2,2.0,UNFURNISHED,[],https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712599-4bd849d13fb20425.jpg,536.0,12000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712607-8e031215d719e572.jpg""]",0,0,"Project Name: Om makarand heights and type :2BHK. Located at : 104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075 , near om-makarand-heights-ashoknagar-chembur-mumbai-716337 , having landmark :Hind high school Property Type: . Price: Rs12000000. having Area or carpet area: 536.0 sq meter. and also _ !. "
